Time (UTC),Plays
10/24/2019 00:00:00,1110
10/31/2019 00:00:00,1045
11/7/2019 00:00:00,561
11/14/2019 00:00:00,316
11/21/2019 00:00:00,269
11/28/2019 00:00:00,229
12/5/2019 00:00:00,140
12/12/2019 00:00:00,107
12/19/2019 00:00:00,118
12/26/2019 00:00:00,114
1/2/2020 00:00:00,149
1/9/2020 00:00:00,138
1/16/2020 00:00:00,141
1/23/2020 00:00:00,155
1/30/2020 00:00:00,167
2/6/2020 00:00:00,154
2/13/2020 00:00:00,136
2/20/2020 00:00:00,94
2/27/2020 00:00:00,140
3/5/2020 00:00:00,144
3/12/2020 00:00:00,107
3/19/2020 00:00:00,67
3/26/2020 00:00:00,79
4/2/2020 00:00:00,61
4/9/2020 00:00:00,64
4/16/2020 00:00:00,47
4/23/2020 00:00:00,83
4/30/2020 00:00:00,58
5/7/2020 00:00:00,43
